AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
599943259.000,599943256.803,00039M00:00:01.567,00038 23:08:50,2019-005T06:54:46.461Z,6.050,,300.397,0.1,101,199.295,196.280,192.499,0.1,1000,,,,,,,,,,
599943264.000,599943261.803,00039M00:00:06.433,00038 23:08:55,2019-005T06:54:51.461Z,,,,,,,,,,,3.380,,295.490,0.1,100,196.787,195.746,193.335,0.1,1000
599943269.000,599943266.803,00039M00:00:11.299,00038 23:09:00,2019-005T06:54:56.461Z,6.377,,295.490,0.1,101,199.302,196.235,192.415,0.1,1000,,,,,,,,,,
599943274.000,599943271.803,00039M00:00:16.165,00038 23:09:05,2019-005T06:55:01.461Z,,,,,,,,,,,4.829,,290.510,0.1,100,196.844,195.746,193.341,0.1,1000
599943279.000,599943276.803,00039M00:00:21.032,00038 23:09:10,2019-005T06:55:06.461Z,7.014,,305.453,0.1,101,199.205,196.183,192.409,0.1,1000,,,,,,,,,,
599943284.000,599943281.803,00039M00:00:25.898,00038 23:09:15,2019-005T06:55:11.461Z,,,,,,,,,,,5.119,,290.643,0.1,100,196.932,195.740,193.310,0.1,1000
599943289.000,599943286.803,00039M00:00:30.764,00038 23:09:20,2019-005T06:55:16.461Z,5.581,,300.472,0.1,101,199.257,196.164,192.428,0.1,1000,,,,,,,,,,
599943294.000,599943291.803,00039M00:00:35.630,00038 23:09:24,2019-005T06:55:21.461Z,,,,,,,,,,,3.701,,295.490,0.1,100,196.838,195.721,193.297,0.1,1000
599943299.000,599943296.803,00039M00:00:40.497,00038 23:09:29,2019-005T06:55:26.461Z,7.172,,290.510,0.1,101,199.152,196.162,192.388,0.1,1000,,,,,,,,,,
599943304.000,599943301.803,00039M00:00:45.363,00038 23:09:34,2019-005T06:55:31.461Z,,,,,,,,,,,2.718,,295.595,0.1,100,196.822,195.711,193.225,0.1,1000
599943309.000,599943306.803,00039M00:00:50.229,00038 23:09:39,2019-005T06:55:36.461Z,6.684,,295.490,0.1,101,199.347,196.138,192.254,0.1,1000,,,,,,,,,,
599943314.000,599943311.803,00039M00:00:55.095,00038 23:09:44,2019-005T06:55:41.461Z,,,,,,,,,,,2.894,,295.490,0.1,100,196.872,195.698,193.225,0.1,1000
599943319.000,599943316.803,00039M00:00:59.962,00038 23:09:49,2019-005T06:55:46.461Z,7.163,,300.472,0.1,101,199.225,196.125,192.267,0.1,1000,,,,,,,,,,
599943324.000,599943321.802,00039M00:01:04.827,00038 23:09:54,2019-005T06:55:51.460Z,,,,,,,,,,,3.538,,295.490,0.1,100,196.828,195.692,193.250,0.1,1000
599943329.000,599943326.802,00039M00:01:09.693,00038 23:09:59,2019-005T06:55:56.460Z,5.555,,290.377,0.1,101,199.159,196.092,192.170,0.1,1000,,,,,,,,,,
599943334.000,599943331.802,00039M00:01:14.559,00038 23:10:03,2019-005T06:56:01.460Z,,,,,,,,,,,3.674,,290.643,0.1,100,196.878,195.704,193.169,0.1,1000
599943339.000,599943336.802,00039M00:01:19.425,00038 23:10:08,2019-005T06:56:06.460Z,5.075,,295.386,0.1,101,199.076,196.093,192.113,0.1,1000,,,,,,,,,,
599943344.000,599943341.802,00039M00:01:24.292,00038 23:10:13,2019-005T06:56:11.460Z,,,,,,,,,,,4.632,,290.643,0.1,100,196.746,195.667,193.156,0.1,1000
599943349.000,599943346.802,00039M00:01:29.158,00038 23:10:18,2019-005T06:56:16.460Z,8.246,,305.408,0.1,101,199.197,196.008,192.112,0.1,1000,,,,,,,,,,
599943354.000,599943351.802,00039M00:01:34.024,00038 23:10:23,2019-005T06:56:21.460Z,,,,,,,,,,,2.238,,310.450,0.1,100,196.828,195.692,193.169,0.1,1000
599943359.000,599943356.802,00039M00:01:38.890,00038 23:10:28,2019-005T06:56:26.461Z,6.519,,300.472,0.1,101,199.212,196.087,192.158,0.1,1000,,,,,,,,,,
599943364.000,599943361.802,00039M00:01:43.757,00038 23:10:33,2019-005T06:56:31.461Z,,,,,,,,,,,5.107,,290.643,0.1,100,196.785,195.612,193.076,0.1,1000
599943369.000,599943366.802,00039M00:01:48.623,00038 23:10:37,2019-005T06:56:36.461Z,7.293,,305.408,0.1,101,199.083,196.035,192.100,0.1,1000,,,,,,,,,,
599943374.000,599943371.802,00039M00:01:53.489,00038 23:10:42,2019-005T06:56:41.461Z,,,,,,,,,,,3.991,,290.643,0.1,100,196.697,195.624,193.101,0.1,1000
599943379.000,599943376.802,00039M00:01:58.355,00038 23:10:47,2019-005T06:56:46.461Z,6.198,,300.472,0.1,101,199.096,196.016,192.113,0.1,1000,,,,,,,,,,
599943384.000,599943381.802,00039M00:02:03.222,00038 23:10:52,2019-005T06:56:51.461Z,,,,,,,,,,,3.373,,295.490,0.1,100,196.730,195.594,193.115,0.1,1000
599943389.000,599943386.802,00039M00:02:08.088,00038 23:10:57,2019-005T06:56:56.461Z,4.919,,300.472,0.1,101,199.031,195.958,191.965,0.1,1000,,,,,,,,,,
599943394.000,599943391.801,00039M00:02:12.953,00038 23:11:02,2019-005T06:57:01.460Z,,,,,,,,,,,2.553,,290.643,0.1,100,196.716,195.568,193.045,0.1,1000
599943399.000,599943396.801,00039M00:02:17.819,00038 23:11:07,2019-005T06:57:06.460Z,5.544,,295.386,0.1,101,199.097,195.965,191.992,0.1,1000,,,,,,,,,,
599943404.000,599943401.801,00039M00:02:22.685,00038 23:11:12,2019-005T06:57:11.460Z,,,,,,,,,,,3.507,,290.643,0.1,100,196.636,195.551,192.953,0.1,1000
599943409.000,599943406.801,00039M00:02:27.552,00038 23:11:16,2019-005T06:57:16.460Z,6.346,,290.510,0.1,101,199.154,196.041,191.959,0.1,1000,,,,,,,,,,
599943414.000,599943411.801,00039M00:02:32.418,00038 23:11:21,2019-005T06:57:21.460Z,,,,,,,,,,,5.580,,290.643,0.1,100,196.699,195.526,192.978,0.1,1000
599943419.000,599943416.801,00039M00:02:37.284,00038 23:11:26,2019-005T06:57:26.460Z,8.730,,290.510,0.1,101,199.147,196.022,192.010,0.1,1000,,,,,,,,,,
599943424.000,599943421.801,00039M00:02:42.150,00038 23:11:31,2019-005T06:57:31.460Z,,,,,,,,,,,5.102,,290.643,0.1,100,196.674,195.514,192.985,0.1,1000
