AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
601363687.000,601363658.363,00055M00:00:01.548,00054 23:07:35,2019-021T17:28:10.346Z,4.660,,295.386,0.1,101,202.842,200.132,196.449,0.1,1000,,,,,,,,,,
601363693.000,601363664.363,00055M00:00:07.388,00054 23:07:41,2019-021T17:28:16.346Z,,,,,,,,,,,2.855,,290.643,0.1,100,201.153,200.061,197.705,0.1,1000
601363697.000,601363668.363,00055M00:00:11.281,00054 23:07:45,2019-021T17:28:20.346Z,4.829,,295.386,0.1,101,202.842,200.177,196.494,0.1,1000,,,,,,,,,,
601363703.000,601363674.363,00055M00:00:17.120,00054 23:07:51,2019-021T17:28:26.346Z,,,,,,,,,,,2.183,,295.595,0.1,100,201.139,199.997,197.672,0.1,1000
601363707.000,601363678.363,00055M00:00:21.013,00054 23:07:55,2019-021T17:28:30.346Z,5.490,,295.386,0.1,101,202.895,200.133,196.399,0.1,1000,,,,,,,,,,
601363713.000,601363684.363,00055M00:00:26.853,00054 23:08:00,2019-021T17:28:36.346Z,,,,,,,,,,,,,,0.1,100,201.217,200.061,197.573,0.1,1000
601363717.000,601363688.363,00055M00:00:30.746,00054 23:08:04,2019-021T17:28:40.346Z,5.657,,295.386,0.1,101,202.913,200.145,196.411,0.1,1000,,,,,,,,,,
601363723.000,601363694.362,00055M00:00:36.584,00054 23:08:10,2019-021T17:28:46.345Z,,,,,,,,,,,3.189,,290.643,0.1,100,201.147,199.992,197.636,0.1,1000
601363727.000,601363698.362,00055M00:00:40.477,00054 23:08:14,2019-021T17:28:50.345Z,5.824,,290.377,0.1,101,202.893,200.113,196.424,0.1,1000,,,,,,,,,,
601363733.000,601363704.362,00055M00:00:46.317,00054 23:08:20,2019-021T17:28:56.345Z,,,,,,,,,,,3.692,,290.643,0.1,100,201.161,199.974,197.643,0.1,1000
601363737.000,601363708.362,00055M00:00:50.210,00054 23:08:24,2019-021T17:29:00.345Z,5.993,,290.377,0.1,101,202.848,200.203,196.462,0.1,1000,,,,,,,,,,
601363743.000,601363714.362,00055M00:00:56.049,00054 23:08:30,2019-021T17:29:06.345Z,,,,,,,,,,,2.350,,295.595,0.1,100,200.978,200.037,197.656,0.1,1000
601363747.000,601363718.362,00055M00:00:59.942,00054 23:08:33,2019-021T17:29:10.345Z,5.494,,295.386,0.1,101,202.822,200.164,196.488,0.1,1000,,,,,,,,,,
601363753.000,601363724.362,00055M00:01:05.781,00054 23:08:39,2019-021T17:29:16.345Z,,,,,,,,,,,3.529,,290.643,0.1,100,201.034,200.011,197.767,0.1,1000
601363757.000,601363728.362,00055M00:01:09.674,00054 23:08:43,2019-021T17:29:20.345Z,5.159,,295.386,0.1,101,202.951,200.235,196.449,0.1,1000,,,,,,,,,,
601363763.000,601363734.362,00055M00:01:15.514,00054 23:08:49,2019-021T17:29:26.345Z,,,,,,,,,,,3.356,,290.643,0.1,100,201.104,199.968,197.649,0.1,1000
601363767.000,601363738.362,00055M00:01:19.407,00054 23:08:53,2019-021T17:29:30.345Z,4.328,,300.397,0.1,101,202.940,200.230,196.489,0.1,1000,,,,,,,,,,
601363773.000,601363744.361,00055M00:01:25.245,00054 23:08:59,2019-021T17:29:36.344Z,,,,,,,,,,,2.686,,290.643,0.1,100,201.174,200.093,197.674,0.1,1000
