AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
601452463.000,601452432.532,00056M00:00:00.646,00055 23:07:33,2019-022T18:07:44.663Z,,,,,,,,,,,2.498,,290.643,0.1,100,200.880,199.706,197.188,0.1,1000
601452467.000,601452436.532,00056M00:00:04.539,00055 23:07:37,2019-022T18:07:48.663Z,4.623,,295.386,0.1,101,202.633,199.910,195.990,0.1,1000,,,,,,,,,,
601452473.000,601452442.532,00056M00:00:10.379,00055 23:07:43,2019-022T18:07:54.663Z,,,,,,,,,,,2.832,,290.643,0.1,100,200.809,199.680,197.244,0.1,1000
601452477.000,601452446.532,00056M00:00:14.272,00055 23:07:47,2019-022T18:07:58.663Z,4.453,,290.377,0.1,101,202.646,199.930,195.880,0.1,1000,,,,,,,,,,
601452483.000,601452452.532,00056M00:00:20.111,00055 23:07:53,2019-022T18:08:04.663Z,,,,,,,,,,,,,,0.1,100,200.905,199.694,197.270,0.1,1000
601452487.000,601452456.532,00056M00:00:24.004,00055 23:07:57,2019-022T18:08:08.663Z,4.620,,290.377,0.1,101,202.582,199.917,195.919,0.1,1000,,,,,,,,,,
601452493.000,601452462.532,00056M00:00:29.844,00055 23:08:03,2019-022T18:08:14.663Z,,,,,,,,,,,2.997,,285.690,0.1,100,200.804,199.637,197.226,0.1,1000
601452497.000,601452466.532,00056M00:00:33.737,00055 23:08:07,2019-022T18:08:18.663Z,5.113,,290.377,0.1,101,202.575,199.852,195.893,0.1,1000,,,,,,,,,,
601452503.000,601452472.532,00056M00:00:39.576,00055 23:08:12,2019-022T18:08:24.663Z,,,,,,,,,,,2.665,,290.643,0.1,100,200.792,199.618,197.245,0.1,1000
601452507.000,601452476.531,00056M00:00:43.468,00055 23:08:16,2019-022T18:08:28.662Z,4.787,,295.386,0.1,101,202.654,199.957,195.991,0.1,1000,,,,,,,,,,
601452513.000,601452482.531,00056M00:00:49.308,00055 23:08:22,2019-022T18:08:34.662Z,,,,,,,,,,,2.831,,290.643,0.1,100,200.886,199.675,197.214,0.1,1000
601452517.000,601452486.531,00056M00:00:53.201,00055 23:08:26,2019-022T18:08:38.662Z,4.452,,285.369,0.1,101,202.783,199.918,195.843,0.1,1000,,,,,,,,,,
601452523.000,601452492.531,00056M00:00:59.040,00055 23:08:32,2019-022T18:08:44.662Z,,,,,,,,,,,3.331,,290.643,0.1,100,200.787,199.651,197.227,0.1,1000
601452527.000,601452496.531,00056M00:01:02.933,00055 23:08:36,2019-022T18:08:48.662Z,4.783,,295.386,0.1,101,202.680,199.944,195.914,0.1,1000,,,,,,,,,,
601452533.000,601452502.531,00056M00:01:08.773,00055 23:08:42,2019-022T18:08:54.662Z,,,,,,,,,,,2.164,,290.643,0.1,100,200.785,199.669,197.195,0.1,1000
601452537.000,601452506.531,00056M00:01:12.666,00055 23:08:45,2019-022T18:08:58.662Z,4.455,,295.386,0.1,101,202.616,199.969,195.959,0.1,1000,,,,,,,,,,
601452543.000,601452512.531,00056M00:01:18.505,00055 23:08:51,2019-022T18:09:04.662Z,,,,,,,,,,,2.997,,290.643,0.1,100,200.831,199.682,197.215,0.1,1000
601452547.000,601452516.531,00056M00:01:22.398,00055 23:08:55,2019-022T18:09:08.662Z,4.289,,295.386,0.1,101,202.577,199.879,195.920,0.1,1000,,,,,,,,,,
601452553.000,601452522.531,00056M00:01:28.237,00055 23:09:01,2019-022T18:09:14.662Z,,,,,,,,,,,1.996,,285.690,0.1,100,200.799,199.576,197.158,0.1,1000
601452557.000,601452526.530,00056M00:01:32.129,00055 23:09:05,2019-022T18:09:18.661Z,4.616,,290.377,0.1,101,202.661,199.834,195.869,0.1,1000,,,,,,,,,,
601452563.000,601452532.530,00056M00:01:37.969,00055 23:09:11,2019-022T18:09:24.661Z,,,,,,,,,,,1.996,,285.690,0.1,100,200.812,199.594,197.158,0.1,1000
601452567.000,601452536.530,00056M00:01:41.862,00055 23:09:15,2019-022T18:09:28.661Z,5.444,,295.386,0.1,101,202.629,199.828,195.946,0.1,1000,,,,,,,,,,
601452573.000,601452542.530,00056M00:01:47.701,00055 23:09:21,2019-022T18:09:34.661Z,,,,,,,,,,,,,,0.1,100,200.761,199.550,197.158,0.1,1000
601452577.000,601452546.530,00056M00:01:51.594,00055 23:09:24,2019-022T18:09:38.661Z,4.619,,285.369,0.1,101,202.508,199.797,195.922,0.1,1000,,,,,,,,,,
601452583.000,601452552.530,00056M00:01:57.434,00055 23:09:30,2019-022T18:09:44.661Z,,,,,,,,,,,3.661,,290.643,0.1,100,200.782,199.564,197.153,0.1,1000
601452587.000,601452556.530,00056M00:02:01.327,00055 23:09:34,2019-022T18:09:48.661Z,5.278,,295.386,0.1,101,202.545,199.802,195.933,0.1,1000,,,,,,,,,,
601452593.000,601452562.530,00056M00:02:07.166,00055 23:09:40,2019-022T18:09:54.661Z,,,,,,,,,,,2.497,,295.595,0.1,100,200.820,199.558,197.160,0.1,1000
601452597.000,601452566.530,00056M00:02:11.059,00055 23:09:44,2019-022T18:09:58.661Z,4.619,,290.377,0.1,101,202.669,199.829,195.922,0.1,1000,,,,,,,,,,
601452603.000,601452572.530,00056M00:02:16.899,00055 23:09:50,2019-022T18:10:04.661Z,,,,,,,,,,,2.997,,285.690,0.1,100,200.712,199.570,197.235,0.1,1000
601452607.000,601452576.529,00056M00:02:20.791,00055 23:09:54,2019-022T18:10:08.660Z,4.784,,295.386,0.1,101,202.572,199.803,195.934,0.1,1000,,,,,,,,,,
601452613.000,601452582.529,00056M00:02:26.630,00055 23:09:59,2019-022T18:10:14.660Z,,,,,,,,,,,3.498,,285.690,0.1,100,200.770,199.597,197.293,0.1,1000
601452617.000,601452586.529,00056M00:02:30.523,00055 23:10:03,2019-022T18:10:18.660Z,4.619,,290.377,0.1,101,202.533,199.790,195.922,0.1,1000,,,,,,,,,,
601452623.000,601452592.529,00056M00:02:36.363,00055 23:10:09,2019-022T18:10:24.660Z,,,,,,,,,,,2.664,,290.643,0.1,100,200.777,199.590,197.224,0.1,1000
601452627.000,601452596.529,00056M00:02:40.256,00055 23:10:13,2019-022T18:10:28.660Z,4.290,,290.377,0.1,101,202.554,199.849,195.948,0.1,1000,,,,,,,,,,
601452633.000,601452602.529,00056M00:02:46.095,00055 23:10:19,2019-022T18:10:34.660Z,,,,,,,,,,,1.998,,290.643,0.1,100,200.751,199.609,197.217,0.1,1000
601452637.000,601452606.529,00056M00:02:49.988,00055 23:10:23,2019-022T18:10:38.660Z,4.616,,295.386,0.1,101,202.617,199.758,195.889,0.1,1000,,,,,,,,,,
601452643.000,601452612.529,00056M00:02:55.828,00055 23:10:29,2019-022T18:10:44.660Z,,,,,,,,,,,2.663,,290.643,0.1,100,200.777,199.634,197.199,0.1,1000
601452647.000,601452616.529,00056M00:02:59.721,00055 23:10:33,2019-022T18:10:48.660Z,5.276,,290.377,0.1,101,202.579,199.745,195.889,0.1,1000,,,,,,,,,,
601452653.000,601452622.529,00056M00:03:05.560,00055 23:10:38,2019-022T18:10:54.660Z,,,,,,,,,,,3.493,,285.690,0.1,100,200.846,199.603,197.142,0.1,1000
601452657.000,601452626.528,00056M00:03:09.452,00055 23:10:42,2019-022T18:10:58.659Z,4.612,,300.397,0.1,101,202.617,199.764,195.812,0.1,1000,,,,,,,,,,
601452663.000,601452632.528,00056M00:03:15.292,00055 23:10:48,2019-022T18:11:04.659Z,,,,,,,,,,,2.660,,285.690,0.1,100,200.784,199.560,197.112,0.1,1000
601452667.000,601452636.528,00056M00:03:19.185,00055 23:10:52,2019-022T18:11:08.659Z,5.270,,290.377,0.1,101,202.637,199.803,195.780,0.1,1000,,,,,,,,,,
601452673.000,601452642.528,00056M00:03:25.024,00055 23:10:58,2019-022T18:11:14.659Z,,,,,,,,,,,2.495,,285.690,0.1,100,200.792,199.630,197.145,0.1,1000
601452677.000,601452646.528,00056M00:03:28.917,00055 23:11:02,2019-022T18:11:18.659Z,5.285,,285.529,0.1,101,202.546,199.745,195.883,0.1,1000,,,,,,,,,,
601452683.000,601452652.528,00056M00:03:34.757,00055 23:11:08,2019-022T18:11:24.659Z,,,,,,,,,,,2.993,,285.690,0.1,100,200.716,199.549,197.120,0.1,1000
601452687.000,601452656.528,00056M00:03:38.650,00055 23:11:11,2019-022T18:11:28.659Z,4.450,,295.386,0.1,101,202.493,199.763,195.862,0.1,1000,,,,,,,,,,
601452693.000,601452662.528,00056M00:03:44.489,00055 23:11:17,2019-022T18:11:34.659Z,,,,,,,,,,,3.328,,285.690,0.1,100,200.697,199.561,197.189,0.1,1000
601452697.000,601452666.528,00056M00:03:48.382,00055 23:11:21,2019-022T18:11:38.659Z,4.940,,295.386,0.1,101,202.617,199.726,195.793,0.1,1000,,,,,,,,,,
601452703.000,601452672.528,00056M00:03:54.221,00055 23:11:27,2019-022T18:11:44.659Z,,,,,,,,,,,2.662,,290.643,0.1,100,200.842,199.605,197.176,0.1,1000
601452707.000,601452676.527,00056M00:03:58.113,00055 23:11:31,2019-022T18:11:48.658Z,4.942,,300.397,0.1,101,202.514,199.797,195.825,0.1,1000,,,,,,,,,,
601452713.000,601452682.527,00056M00:04:03.953,00055 23:11:37,2019-022T18:11:54.658Z,,,,,,,,,,,2.828,,285.690,0.1,100,200.779,199.574,197.189,0.1,1000
601452717.000,601452686.527,00056M00:04:07.846,00055 23:11:41,2019-022T18:11:58.658Z,4.283,,295.386,0.1,101,202.604,199.777,195.831,0.1,1000,,,,,,,,,,
601452723.000,601452692.527,00056M00:04:13.685,00055 23:11:47,2019-022T18:12:04.658Z,,,,,,,,,,,2.663,,290.643,0.1,100,200.741,199.549,197.201,0.1,1000
601452727.000,601452696.527,00056M00:04:17.578,00055 23:11:50,2019-022T18:12:08.659Z,4.450,,290.377,0.1,101,202.566,199.706,195.857,0.1,1000,,,,,,,,,,
601452733.000,601452702.527,00056M00:04:23.418,00055 23:11:56,2019-022T18:12:14.659Z,,,,,,,,,,,2.827,,285.690,0.1,100,200.735,199.587,197.151,0.1,1000
601452737.000,601452706.527,00056M00:04:27.311,00055 23:12:00,2019-022T18:12:18.659Z,5.105,,290.377,0.1,101,202.482,199.713,195.780,0.1,1000,,,,,,,,,,
601452743.000,601452712.527,00056M00:04:33.150,00055 23:12:06,2019-022T18:12:24.659Z,,,,,,,,,,,3.160,,285.690,0.1,100,200.653,199.549,197.157,0.1,1000
601452747.000,601452716.527,00056M00:04:37.043,00055 23:12:10,2019-022T18:12:28.659Z,4.610,,295.386,0.1,101,202.467,199.763,195.779,0.1,1000,,,,,,,,,,
601452753.000,601452722.527,00056M00:04:42.883,00055 23:12:16,2019-022T18:12:34.659Z,,,,,,,,,,,2.993,,290.643,0.1,100,200.577,199.474,197.113,0.1,1000
601452757.000,601452726.526,00056M00:04:46.775,00055 23:12:20,2019-022T18:12:38.658Z,4.284,,290.377,0.1,101,202.559,199.758,195.831,0.1,1000,,,,,,,,,,
601452763.000,601452732.526,00056M00:04:52.614,00055 23:12:25,2019-022T18:12:44.658Z,,,,,,,,,,,1.995,,290.643,0.1,100,200.591,199.437,197.083,0.1,1000
601452767.000,601452736.526,00056M00:04:56.507,00055 23:12:29,2019-022T18:12:48.658Z,4.116,,290.377,0.1,101,202.616,199.731,195.772,0.1,1000,,,,,,,,,,
601452773.000,601452742.526,00056M00:05:02.347,00055 23:12:35,2019-022T18:12:54.658Z,,,,,,,,,,,2.494,,290.643,0.1,100,200.598,199.519,197.102,0.1,1000
601452777.000,601452746.526,00056M00:05:06.240,00055 23:12:39,2019-022T18:12:58.658Z,4.113,,295.386,0.1,101,202.656,199.732,195.722,0.1,1000,,,,,,,,,,
601452783.000,601452752.526,00056M00:05:12.079,00055 23:12:45,2019-022T18:13:04.658Z,,,,,,,,,,,3.157,,285.690,0.1,100,200.642,199.506,197.083,0.1,1000
601452787.000,601452756.526,00056M00:05:15.972,00055 23:12:49,2019-022T18:13:08.658Z,4.445,,290.377,0.1,101,202.392,199.700,195.773,0.1,1000,,,,,,,,,,
601452793.000,601452762.526,00056M00:05:21.812,00055 23:12:55,2019-022T18:13:14.658Z,,,,,,,,,,,2.826,,290.643,0.1,100,200.631,199.507,197.097,0.1,1000
601452797.000,601452766.526,00056M00:05:25.705,00055 23:12:59,2019-022T18:13:18.658Z,4.770,,290.377,0.1,101,202.495,199.713,195.683,0.1,1000,,,,,,,,,,
601452803.000,601452772.526,00056M00:05:31.544,00055 23:13:04,2019-022T18:13:24.658Z,,,,,,,,,,,,,,0.1,100,200.719,199.482,197.066,0.1,1000
601452807.000,601452776.525,00056M00:05:35.436,00055 23:13:08,2019-022T18:13:28.657Z,4.605,,290.377,0.1,101,202.521,199.674,195.664,0.1,1000,,,,,,,,,,
601452813.000,601452782.525,00056M00:05:41.276,00055 23:13:14,2019-022T18:13:34.657Z,,,,,,,,,,,1.661,,290.643,0.1,100,200.612,199.457,197.022,0.1,1000
601452817.000,601452786.525,00056M00:05:45.169,00055 23:13:18,2019-022T18:13:38.657Z,5.100,,290.377,0.1,101,202.533,199.674,195.703,0.1,1000,,,,,,,,,,
601452823.000,601452792.525,00056M00:05:51.008,00055 23:13:24,2019-022T18:13:44.657Z,,,,,,,,,,,1.992,,285.690,0.1,100,200.713,199.457,196.991,0.1,1000
601452827.000,601452796.525,00056M00:05:54.901,00055 23:13:28,2019-022T18:13:48.657Z,5.102,,285.369,0.1,101,202.327,199.674,195.735,0.1,1000,,,,,,,,,,
601452833.000,601452802.525,00056M00:06:00.741,00055 23:13:34,2019-022T18:13:54.657Z,,,,,,,,,,,3.822,,290.643,0.1,100,200.731,199.488,197.053,0.1,1000
601452837.000,601452806.525,00056M00:06:04.633,00055 23:13:37,2019-022T18:13:58.657Z,4.279,,285.369,0.1,101,202.398,199.642,195.716,0.1,1000,,,,,,,,,,
601452843.000,601452812.525,00056M00:06:10.473,00055 23:13:43,2019-022T18:14:04.657Z,,,,,,,,,,,3.487,,285.690,0.1,100,200.769,199.507,197.010,0.1,1000
601452847.000,601452816.525,00056M00:06:14.366,00055 23:13:47,2019-022T18:14:08.657Z,4.440,,290.377,0.1,101,202.493,199.596,195.669,0.1,1000,,,,,,,,,,
601452853.000,601452822.525,00056M00:06:20.205,00055 23:13:53,2019-022T18:14:14.657Z,,,,,,,,,,,1.826,,290.643,0.1,100,200.700,199.438,196.947,0.1,1000
601452857.000,601452826.524,00056M00:06:24.097,00055 23:13:57,2019-022T18:14:18.656Z,5.097,,290.377,0.1,101,202.416,199.583,195.650,0.1,1000,,,,,,,,,,
601452863.000,601452832.524,00056M00:06:29.937,00055 23:14:03,2019-022T18:14:24.656Z,,,,,,,,,,,2.987,,285.690,0.1,100,200.626,199.427,196.954,0.1,1000
601452867.000,601452836.524,00056M00:06:33.830,00055 23:14:07,2019-022T18:14:28.656Z,4.273,,290.377,0.1,101,202.377,199.602,195.618,0.1,1000,,,,,,,,,,
601452873.000,601452842.524,00056M00:06:39.669,00055 23:14:12,2019-022T18:14:34.656Z,,,,,,,,,,,,,,0.1,100,200.632,199.439,196.911,0.1,1000
601452877.000,601452846.524,00056M00:06:43.562,00055 23:14:16,2019-022T18:14:38.656Z,3.943,,285.369,0.1,101,202.351,199.518,195.560,0.1,1000,,,,,,,,,,
601452883.000,601452852.524,00056M00:06:49.402,00055 23:14:22,2019-022T18:14:44.656Z,,,,,,,,,,,,,,0.1,100,200.569,199.352,196.923,0.1,1000
601452887.000,601452856.524,00056M00:06:53.295,00055 23:14:26,2019-022T18:14:48.656Z,3.775,,285.369,0.1,101,202.338,199.518,195.483,0.1,1000,,,,,,,,,,
601452893.000,601452862.524,00056M00:06:59.134,00055 23:14:32,2019-022T18:14:54.656Z,,,,,,,,,,,2.987,,290.643,0.1,100,200.520,199.346,196.943,0.1,1000
601452897.000,601452866.524,00056M00:07:03.027,00055 23:14:36,2019-022T18:14:58.656Z,4.594,,285.369,0.1,101,202.480,199.473,195.438,0.1,1000,,,,,,,,,,
601452903.000,601452872.524,00056M00:07:08.867,00055 23:14:42,2019-022T18:15:04.656Z,,,,,,,,,,,2.502,,295.490,0.1,100,200.633,199.384,196.893,0.1,1000
601452907.000,601452876.524,00056M00:07:12.760,00055 23:14:46,2019-022T18:15:08.656Z,5.248,,280.363,0.1,101,202.267,199.390,195.380,0.1,1000,,,,,,,,,,
601452913.000,601452882.523,00056M00:07:18.598,00055 23:14:51,2019-022T18:15:14.655Z,,,,,,,,,,,,,,0.1,100,200.583,199.353,196.830,0.1,1000
601452917.000,601452886.523,00056M00:07:22.491,00055 23:14:55,2019-022T18:15:18.655Z,4.424,,285.369,0.1,101,202.285,199.433,195.314,0.1,1000,,,,,,,,,,
601452923.000,601452892.523,00056M00:07:28.331,00055 23:15:01,2019-022T18:15:24.655Z,,,,,,,,,,,1.988,,285.690,0.1,100,200.501,199.441,196.824,0.1,1000
601452927.000,601452896.523,00056M00:07:32.224,00055 23:15:05,2019-022T18:15:28.655Z,3.764,,285.369,0.1,101,202.372,199.365,195.207,0.1,1000,,,,,,,,,,
601452933.000,601452902.523,00056M00:07:38.063,00055 23:15:11,2019-022T18:15:34.655Z,,,,,,,,,,,2.815,,285.690,0.1,100,200.627,199.459,196.774,0.1,1000
601452937.000,601452906.523,00056M00:07:41.956,00055 23:15:15,2019-022T18:15:38.655Z,3.765,,285.369,0.1,101,202.525,199.299,195.225,0.1,1000,,,,,,,,,,
601452943.000,601452912.523,00056M00:07:47.796,00055 23:15:21,2019-022T18:15:44.655Z,,,,,,,,,,,3.146,,285.690,0.1,100,200.609,199.379,196.763,0.1,1000
601452947.000,601452916.523,00056M00:07:51.689,00055 23:15:25,2019-022T18:15:48.655Z,3.599,,280.363,0.1,101,202.351,199.332,195.161,0.1,1000,,,,,,,,,,
601452953.000,601452922.523,00056M00:07:57.528,00055 23:15:30,2019-022T18:15:54.655Z,,,,,,,,,,,1.985,,285.690,0.1,100,200.501,199.334,196.686,0.1,1000
601452957.000,601452926.523,00056M00:08:01.421,00055 23:15:34,2019-022T18:15:58.655Z,3.601,,285.369,0.1,101,202.332,199.344,195.225,0.1,1000,,,,,,,,,,
601452963.000,601452932.522,00056M00:08:07.260,00055 23:15:40,2019-022T18:16:04.654Z,,,,,,,,,,,2.483,,290.643,0.1,100,200.491,199.349,196.701,0.1,1000
601452967.000,601452936.522,00056M00:08:11.153,00055 23:15:44,2019-022T18:16:08.654Z,3.763,,280.363,0.1,101,202.403,199.325,195.174,0.1,1000,,,,,,,,,,
