AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
599410609.000,599410607.964,00033M00:00:03.275,00032 23:09:53,2018-364T02:57:16.753Z,,,,,,,,,,,2.425,,295.595,0.1,100,197.319,196.385,194.765,0.1,1000
599410615.000,599410613.964,00033M00:00:09.114,00032 23:09:59,2018-364T02:57:22.753Z,6.121,,305.453,0.1,101,199.893,197.142,193.868,0.1,1000,,,,,,,,,,
599410619.000,599410617.964,00033M00:00:13.007,00032 23:10:03,2018-364T02:57:26.753Z,,,,,,,,,,,3.553,,290.643,0.1,100,197.356,196.402,194.695,0.1,1000
599410625.000,599410623.964,00033M00:00:18.847,00032 23:10:09,2018-364T02:57:32.753Z,7.239,,305.453,0.1,101,199.887,197.078,193.759,0.1,1000,,,,,,,,,,
599410629.000,599410627.964,00033M00:00:22.740,00032 23:10:13,2018-364T02:57:36.753Z,,,,,,,,,,,2.100,,315.401,0.1,100,197.295,196.373,194.678,0.1,1000
599410635.000,599410633.964,00033M00:00:28.579,00032 23:10:19,2018-364T02:57:42.753Z,7.722,,305.453,0.1,101,199.824,197.111,193.760,0.1,1000,,,,,,,,,,
599410639.000,599410637.964,00033M00:00:32.472,00032 23:10:22,2018-364T02:57:46.753Z,,,,,,,,,,,3.067,,295.595,0.1,100,197.414,196.385,194.614,0.1,1000
599410645.000,599410643.964,00033M00:00:38.312,00032 23:10:28,2018-364T02:57:52.753Z,5.758,,300.547,0.1,101,199.932,197.097,193.733,0.1,1000,,,,,,,,,,
599410649.000,599410647.964,00033M00:00:42.205,00032 23:10:32,2018-364T02:57:56.753Z,,,,,,,,,,,2.583,,310.450,0.1,100,197.364,196.278,194.602,0.1,1000
599410655.000,599410653.963,00033M00:00:48.043,00032 23:10:38,2018-364T02:58:02.752Z,6.092,,310.420,0.1,101,199.895,197.047,193.645,0.1,1000,,,,,,,,,,
599410659.000,599410657.963,00033M00:00:51.936,00032 23:10:42,2018-364T02:58:06.752Z,,,,,,,,,,,2.901,,290.643,0.1,100,197.433,196.341,194.502,0.1,1000
599410665.000,599410663.963,00033M00:00:57.776,00032 23:10:48,2018-364T02:58:12.752Z,6.263,,305.453,0.1,101,199.938,197.065,193.585,0.1,1000,,,,,,,,,,
599410669.000,599410667.963,00033M00:01:01.669,00032 23:10:52,2018-364T02:58:16.752Z,,,,,,,,,,,3.890,,295.490,0.1,100,197.270,196.323,194.478,0.1,1000
599410675.000,599410673.963,00033M00:01:07.508,00032 23:10:57,2018-364T02:58:22.752Z,7.068,,305.453,0.1,101,199.732,196.981,193.624,0.1,1000,,,,,,,,,,
599410679.000,599410677.963,00033M00:01:11.401,00032 23:11:01,2018-364T02:58:26.752Z,,,,,,,,,,,3.568,,295.490,0.1,100,197.403,196.329,194.528,0.1,1000
599410685.000,599410683.963,00033M00:01:17.241,00032 23:11:07,2018-364T02:58:32.752Z,7.227,,305.453,0.1,101,199.803,196.962,193.592,0.1,1000,,,,,,,,,,
599410689.000,599410687.963,00033M00:01:21.134,00032 23:11:11,2018-364T02:58:36.752Z,,,,,,,,,,,5.477,,290.643,0.1,100,197.195,196.279,194.459,0.1,1000
599410695.000,599410693.963,00033M00:01:26.973,00032 23:11:17,2018-364T02:58:42.752Z,5.455,,305.453,0.1,101,199.764,196.981,193.502,0.1,1000,,,,,,,,,,
599410699.000,599410697.963,00033M00:01:30.866,00032 23:11:21,2018-364T02:58:46.752Z,,,,,,,,,,,2.094,,310.450,0.1,100,197.391,196.274,194.417,0.1,1000
599410705.000,599410703.962,00033M00:01:36.705,00032 23:11:27,2018-364T02:58:52.751Z,6.259,,305.453,0.1,101,199.880,196.994,193.534,0.1,1000,,,,,,,,,,
599410709.000,599410707.962,00033M00:01:40.598,00032 23:11:31,2018-364T02:58:56.751Z,,,,,,,,,,,4.028,,295.595,0.1,100,197.253,196.274,194.461,0.1,1000
599410715.000,599410713.962,00033M00:01:46.437,00032 23:11:36,2018-364T02:59:02.751Z,5.935,,305.453,0.1,101,199.674,196.949,193.476,0.1,1000,,,,,,,,,,
599410719.000,599410717.962,00033M00:01:50.330,00032 23:11:40,2018-364T02:59:06.751Z,,,,,,,,,,,2.901,,295.595,0.1,100,197.240,196.249,194.486,0.1,1000
599410725.000,599410723.962,00033M00:01:56.170,00032 23:11:46,2018-364T02:59:12.751Z,4.812,,300.472,0.1,101,199.753,196.867,193.477,0.1,1000,,,,,,,,,,
599410729.000,599410727.962,00033M00:02:00.062,00032 23:11:50,2018-364T02:59:16.751Z,,,,,,,,,,,2.899,,295.595,0.1,100,197.240,196.211,194.417,0.1,1000
599410735.000,599410733.962,00033M00:02:05.902,00032 23:11:56,2018-364T02:59:22.751Z,6.236,,310.420,0.1,101,199.790,196.917,193.405,0.1,1000,,,,,,,,,,
599410739.000,599410737.962,00033M00:02:09.795,00032 23:12:00,2018-364T02:59:26.751Z,,,,,,,,,,,3.222,,295.595,0.1,100,197.171,196.237,194.436,0.1,1000
