AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
602162682.000,602162638.043,00064M00:00:05.214,00063 23:07:48,2019-030T23:24:31.308Z,4.124,,300.397,0.1,101,202.053,199.234,194.890,0.1,1000,,,,0.1,100,200.523,199.185,196.414,0.1,1000
602162692.000,602162648.043,00064M00:00:14.946,00063 23:07:58,2019-030T23:24:41.308Z,4.451,,290.377,0.1,101,202.092,199.176,194.812,0.1,1000,,,,0.1,100,200.480,199.205,196.459,0.1,1000
602162702.000,602162658.043,00064M00:00:24.679,00063 23:08:08,2019-030T23:24:51.308Z,4.288,,295.386,0.1,101,202.045,199.297,194.863,0.1,1000,2.171,,290.643,0.1,100,200.303,199.149,196.434,0.1,1000
602162712.000,602162668.043,00064M00:00:34.411,00063 23:08:17,2019-030T23:25:01.308Z,3.957,,295.386,0.1,101,202.059,199.227,194.825,0.1,1000,,,,0.1,100,200.372,199.130,196.396,0.1,1000
602162722.000,602162678.043,00064M00:00:44.144,00063 23:08:27,2019-030T23:25:11.308Z,4.949,,290.377,0.1,101,202.105,199.266,194.877,0.1,1000,2.169,,285.690,0.1,100,200.285,199.106,196.372,0.1,1000
602162732.000,602162688.042,00064M00:00:53.875,00063 23:08:37,2019-030T23:25:21.307Z,4.456,,295.386,0.1,101,202.053,199.272,194.922,0.1,1000,2.170,,295.595,0.1,100,200.367,199.188,196.391,0.1,1000
602162742.000,602162698.042,00064M00:01:03.607,00063 23:08:47,2019-030T23:25:31.307Z,4.782,,300.397,0.1,101,202.090,199.207,194.863,0.1,1000,2.669,,285.690,0.1,100,200.280,199.070,196.374,0.1,1000
602162752.000,602162708.042,00064M00:01:13.340,00063 23:08:56,2019-030T23:25:41.307Z,4.785,,295.386,0.1,101,202.098,199.214,194.909,0.1,1000,2.671,,290.643,0.1,100,200.330,199.119,196.404,0.1,1000
602162762.000,602162718.042,00064M00:01:23.072,00063 23:09:06,2019-030T23:25:51.307Z,4.294,,300.397,0.1,101,202.130,199.240,195.012,0.1,1000,2.004,,285.690,0.1,100,200.388,199.101,196.449,0.1,1000
602162772.000,602162728.042,00064M00:01:32.805,00063 23:09:16,2019-030T23:26:01.307Z,4.457,,295.386,0.1,101,202.124,199.214,194.947,0.1,1000,,,,0.1,100,200.311,199.062,196.429,0.1,1000
602162782.000,602162738.042,00064M00:01:42.537,00063 23:09:25,2019-030T23:26:11.307Z,3.797,,300.397,0.1,101,202.034,199.240,194.960,0.1,1000,2.002,,290.643,0.1,100,200.426,199.164,196.355,0.1,1000
602162792.000,602162748.042,00064M00:01:52.270,00063 23:09:35,2019-030T23:26:21.307Z,4.293,,295.386,0.1,101,201.982,199.182,194.973,0.1,1000,,,,0.1,100,200.337,199.126,196.436,0.1,1000
602162802.000,602162758.041,00064M00:02:02.001,00063 23:09:45,2019-030T23:26:31.306Z,3.798,,290.377,0.1,101,202.008,199.189,194.960,0.1,1000,1.836,,290.643,0.1,100,200.318,199.057,196.367,0.1,1000
602162812.000,602162768.041,00064M00:02:11.734,00063 23:09:55,2019-030T23:26:41.306Z,4.125,,295.386,0.1,101,202.079,199.150,194.902,0.1,1000,2.002,,290.643,0.1,100,200.249,199.132,196.348,0.1,1000
602162822.000,602162778.041,00064M00:02:21.466,00063 23:10:04,2019-030T23:26:51.306Z,4.455,,295.386,0.1,101,202.085,199.137,194.896,0.1,1000,1.835,,290.643,0.1,100,200.320,199.108,196.312,0.1,1000
602162832.000,602162788.041,00064M00:02:31.199,00063 23:10:14,2019-030T23:27:01.306Z,4.126,,300.397,0.1,101,202.003,199.190,194.929,0.1,1000,2.168,,290.643,0.1,100,200.275,199.064,196.312,0.1,1000
602162842.000,602162798.041,00064M00:02:40.931,00063 23:10:24,2019-030T23:27:11.306Z,4.290,,300.397,0.1,101,202.029,199.177,194.917,0.1,1000,2.002,,290.643,0.1,100,200.376,199.102,196.331,0.1,1000
602162852.000,602162808.041,00064M00:02:50.664,00063 23:10:34,2019-030T23:27:21.306Z,4.620,,295.386,0.1,101,202.014,199.131,194.896,0.1,1000,,,,0.1,100,200.308,199.084,196.282,0.1,1000
602162862.000,602162818.040,00064M00:03:00.395,00063 23:10:43,2019-030T23:27:31.305Z,4.127,,300.397,0.1,101,201.969,199.124,194.973,0.1,1000,2.167,,285.690,0.1,100,200.207,199.097,196.313,0.1,1000
602162872.000,602162828.040,00064M00:03:10.127,00063 23:10:53,2019-030T23:27:41.305Z,4.125,,300.397,0.1,101,201.853,199.150,194.909,0.1,1000,2.168,,290.643,0.1,100,200.289,199.059,196.307,0.1,1000
602162882.000,602162838.040,00064M00:03:19.860,00063 23:11:03,2019-030T23:27:51.305Z,3.965,,295.386,0.1,101,202.027,199.234,195.018,0.1,1000,2.000,,285.690,0.1,100,200.207,199.028,196.288,0.1,1000
602162892.000,602162848.040,00064M00:03:29.592,00063 23:11:13,2019-030T23:28:01.305Z,3.962,,295.386,0.1,101,202.111,199.272,194.967,0.1,1000,,,,0.1,100,200.202,198.966,196.258,0.1,1000
602162902.000,602162858.040,00064M00:03:39.325,00063 23:11:22,2019-030T23:28:11.305Z,4.129,,300.397,0.1,101,202.040,199.156,195.012,0.1,1000,2.334,,285.690,0.1,100,200.247,199.010,196.309,0.1,1000
