AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
600209589.000,600209582.167,00042M00:00:01.625,00041 23:08:27,2019-008T08:53:32.253Z,5.212,,300.472,0.1,101,200.621,197.751,193.628,0.1,1000,,,,,,,,,,
600209592.000,600209585.167,00042M00:00:04.544,00041 23:08:30,2019-008T08:53:35.253Z,,,,,,,,,,,3.440,,290.643,0.1,100,198.235,197.106,194.742,0.1,1000
600209599.000,600209592.167,00042M00:00:11.357,00041 23:08:37,2019-008T08:53:42.253Z,5.700,,300.472,0.1,101,200.634,197.725,193.615,0.1,1000,,,,,,,,,,
600209602.000,600209595.167,00042M00:00:14.277,00041 23:08:39,2019-008T08:53:45.253Z,,,,,,,,,,,2.951,,295.595,0.1,100,198.229,197.030,194.805,0.1,1000
600209609.000,600209602.166,00042M00:00:21.089,00041 23:08:46,2019-008T08:53:52.252Z,6.028,,300.472,0.1,101,200.557,197.654,193.653,0.1,1000,,,,,,,,,,
600209612.000,600209605.166,00042M00:00:24.008,00041 23:08:49,2019-008T08:53:55.252Z,,,,,,,,,,,2.131,,295.595,0.1,100,198.123,197.069,194.787,0.1,1000
600209619.000,600209612.166,00042M00:00:30.821,00041 23:08:56,2019-008T08:54:02.252Z,5.212,,305.453,0.1,101,200.396,197.648,193.628,0.1,1000,,,,,,,,,,
600209622.000,600209615.166,00042M00:00:33.741,00041 23:08:59,2019-008T08:54:05.252Z,,,,,,,,,,,4.120,,295.490,0.1,100,198.263,197.114,194.745,0.1,1000
600209629.000,600209622.166,00042M00:00:40.554,00041 23:09:06,2019-008T08:54:12.252Z,4.873,,300.397,0.1,101,200.525,197.648,193.557,0.1,1000,,,,,,,,,,
600209632.000,600209625.166,00042M00:00:43.473,00041 23:09:09,2019-008T08:54:15.252Z,,,,,,,,,,,3.277,,290.643,0.1,100,198.212,197.094,194.762,0.1,1000
600209639.000,600209632.166,00042M00:00:50.286,00041 23:09:15,2019-008T08:54:22.252Z,5.043,,300.472,0.1,101,200.460,197.577,193.512,0.1,1000,,,,,,,,,,
600209642.000,600209635.166,00042M00:00:53.206,00041 23:09:18,2019-008T08:54:25.252Z,,,,,,,,,,,2.128,,290.643,0.1,100,198.219,197.083,194.657,0.1,1000
600209649.000,600209642.166,00042M00:01:00.018,00041 23:09:25,2019-008T08:54:32.252Z,6.493,,295.386,0.1,101,200.422,197.571,193.499,0.1,1000,,,,,,,,,,
600209652.000,600209645.166,00042M00:01:02.938,00041 23:09:28,2019-008T08:54:35.252Z,,,,,,,,,,,3.270,,290.643,0.1,100,198.181,197.039,194.545,0.1,1000
600209659.000,600209652.166,00042M00:01:09.751,00041 23:09:35,2019-008T08:54:42.252Z,6.014,,300.472,0.1,101,200.473,197.558,193.435,0.1,1000,,,,,,,,,,
600209662.000,600209655.166,00042M00:01:12.671,00041 23:09:38,2019-008T08:54:45.252Z,,,,,,,,,,,2.126,,310.450,0.1,100,198.126,197.053,194.533,0.1,1000
600209669.000,600209662.165,00042M00:01:19.482,00041 23:09:45,2019-008T08:54:52.251Z,5.693,,305.453,0.1,101,200.594,197.550,193.504,0.1,1000,,,,,,,,,,
600209672.000,600209665.165,00042M00:01:22.402,00041 23:09:48,2019-008T08:54:55.251Z,,,,,,,,,,,2.619,,295.595,0.1,100,198.220,197.028,194.640,0.1,1000
600209679.000,600209672.165,00042M00:01:29.215,00041 23:09:54,2019-008T08:55:02.251Z,5.694,,305.453,0.1,101,200.486,197.584,193.518,0.1,1000,,,,,,,,,,
600209682.000,600209675.165,00042M00:01:32.135,00041 23:09:57,2019-008T08:55:05.251Z,,,,,,,,,,,3.458,,295.490,0.1,100,198.277,197.047,194.671,0.1,1000
600209689.000,600209682.165,00042M00:01:38.947,00041 23:10:04,2019-008T08:55:12.251Z,5.204,,300.472,0.1,101,200.447,197.538,193.493,0.1,1000,,,,,,,,,,
