AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
605802430.000,605802412.455,00105M00:00:00.559,00104 23:14:38,2019-073T02:27:31.529Z,,,,,,,,,,,1.931,,290.643,0.1,100,196.889,195.760,193.023,0.1,1000
605802434.000,605802416.455,00105M00:00:04.452,00104 23:14:42,2019-073T02:27:35.529Z,3.855,,285.369,0.1,101,200.299,197.392,192.433,0.1,1000,,,,,,,,,,
605802440.000,605802422.455,00105M00:00:10.292,00104 23:14:48,2019-073T02:27:41.529Z,,,,,,,,,,,,,,0.1,100,196.826,195.735,192.954,0.1,1000
605802444.000,605802426.455,00105M00:00:14.185,00104 23:14:52,2019-073T02:27:45.529Z,3.051,,285.369,0.1,101,200.248,197.340,192.407,0.1,1000,,,,,,,,,,
605802450.000,605802432.455,00105M00:00:20.024,00104 23:14:57,2019-073T02:27:51.529Z,,,,,,,,,,,1.931,,290.643,0.1,100,196.763,195.735,192.992,0.1,1000
605802454.000,605802436.455,00105M00:00:23.917,00104 23:15:01,2019-073T02:27:55.529Z,2.892,,285.369,0.1,101,200.261,197.385,192.452,0.1,1000,,,,,,,,,,
605802460.000,605802442.455,00105M00:00:29.757,00104 23:15:07,2019-073T02:28:01.529Z,,,,,,,,,,,2.090,,285.690,0.1,100,196.746,195.711,192.949,0.1,1000
605802464.000,605802446.455,00105M00:00:33.650,00104 23:15:11,2019-073T02:28:05.529Z,3.050,,290.377,0.1,101,200.235,197.373,192.388,0.1,1000,,,,,,,,,,
605802470.000,605802452.455,00105M00:00:39.489,00104 23:15:17,2019-073T02:28:11.529Z,,,,,,,,,,,,,,0.1,100,196.796,195.674,192.937,0.1,1000
605802474.000,605802456.454,00105M00:00:43.381,00104 23:15:21,2019-073T02:28:15.528Z,3.212,,285.369,0.1,101,200.383,197.411,192.414,0.1,1000,,,,,,,,,,
