AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
599150409.500,599150395.900,00030M01:39:12.942,00030 00:49:40,2018-361T02:40:24.251Z,744.7834,2.0,281.1879,0.2
599150410.000,599150396.400,00030M01:39:13.428,00030 00:49:40,2018-361T02:40:24.751Z,744.7607,2.0,,
599150410.500,599150396.900,00030M01:39:13.915,00030 00:49:41,2018-361T02:40:25.251Z,744.7654,2.0,,
599150411.000,599150397.400,00030M01:39:14.402,00030 00:49:41,2018-361T02:40:25.751Z,744.7952,2.0,,
599150411.500,599150397.900,00030M01:39:14.888,00030 00:49:42,2018-361T02:40:26.251Z,744.7735,2.0,,
599150412.000,599150398.400,00030M01:39:15.375,00030 00:49:42,2018-361T02:40:26.751Z,744.7542,2.0,,
599150412.500,599150398.900,00030M01:39:15.862,00030 00:49:43,2018-361T02:40:27.251Z,744.7640,2.0,,
599150413.000,599150399.400,00030M01:39:16.348,00030 00:49:43,2018-361T02:40:27.751Z,744.7861,2.0,,
599150413.500,599150399.900,00030M01:39:16.835,00030 00:49:43,2018-361T02:40:28.251Z,744.7778,2.0,,
599150414.000,599150400.400,00030M01:39:17.321,00030 00:49:44,2018-361T02:40:28.751Z,744.7523,2.0,,
599150414.500,599150400.900,00030M01:39:17.808,00030 00:49:44,2018-361T02:40:29.251Z,744.7623,2.0,281.1871,0.2
599150415.000,599150401.400,00030M01:39:18.295,00030 00:49:45,2018-361T02:40:29.751Z,744.7697,2.0,,
599150415.500,599150401.900,00030M01:39:18.781,00030 00:49:45,2018-361T02:40:30.251Z,744.7728,2.0,,
599150416.000,599150402.400,00030M01:39:19.268,00030 00:49:46,2018-361T02:40:30.751Z,744.7718,2.0,,
599150416.500,599150402.900,00030M01:39:19.755,00030 00:49:46,2018-361T02:40:31.251Z,744.7744,2.0,,
599150417.000,599150403.400,00030M01:39:20.241,00030 00:49:47,2018-361T02:40:31.751Z,744.7879,2.0,,
599150417.500,599150403.900,00030M01:39:20.728,00030 00:49:47,2018-361T02:40:32.251Z,744.7780,2.0,,
599150418.000,599150404.400,00030M01:39:21.214,00030 00:49:48,2018-361T02:40:32.751Z,744.7551,2.0,,
599150418.500,599150404.900,00030M01:39:21.701,00030 00:49:48,2018-361T02:40:33.251Z,744.7691,2.0,,
599150419.000,599150405.400,00030M01:39:22.188,00030 00:49:49,2018-361T02:40:33.751Z,744.7672,2.0,,
599150419.500,599150405.900,00030M01:39:22.674,00030 00:49:49,2018-361T02:40:34.251Z,744.7223,2.0,281.1856,0.2
599150420.000,599150406.400,00030M01:39:23.161,00030 00:49:50,2018-361T02:40:34.751Z,744.7415,2.0,,
599150420.500,599150406.900,00030M01:39:23.648,00030 00:49:50,2018-361T02:40:35.251Z,744.7713,2.0,,
599150421.000,599150407.400,00030M01:39:24.134,00030 00:49:51,2018-361T02:40:35.751Z,744.7509,2.0,,
599150421.500,599150407.900,00030M01:39:24.621,00030 00:49:51,2018-361T02:40:36.251Z,744.7529,2.0,,
599150422.000,599150408.400,00030M01:39:25.107,00030 00:49:52,2018-361T02:40:36.751Z,744.7802,2.0,,
599150422.500,599150408.900,00030M01:39:25.594,00030 00:49:52,2018-361T02:40:37.251Z,744.7647,2.0,,
599150423.000,599150409.400,00030M01:39:26.081,00030 00:49:53,2018-361T02:40:37.751Z,744.7369,2.0,,
599150423.500,599150409.900,00030M01:39:26.567,00030 00:49:53,2018-361T02:40:38.251Z,744.7686,2.0,,
599150424.000,599150410.400,00030M01:39:27.054,00030 00:49:54,2018-361T02:40:38.751Z,744.7773,2.0,,
599150424.500,599150410.900,00030M01:39:27.541,00030 00:49:54,2018-361T02:40:39.251Z,744.7393,2.0,281.1850,0.2
599150425.000,599150411.400,00030M01:39:28.027,00030 00:49:55,2018-361T02:40:39.751Z,744.7468,2.0,,
599150425.500,599150411.900,00030M01:39:28.514,00030 00:49:55,2018-361T02:40:40.251Z,744.7636,2.0,,
599150426.000,599150412.400,00030M01:39:29.000,00030 00:49:56,2018-361T02:40:40.751Z,744.7560,2.0,,
599150426.500,599150412.900,00030M01:39:29.487,00030 00:49:56,2018-361T02:40:41.251Z,744.7710,2.0,,
599150427.000,599150413.400,00030M01:39:29.974,00030 00:49:57,2018-361T02:40:41.751Z,744.7651,2.0,,
599150427.500,599150413.900,00030M01:39:30.460,00030 00:49:57,2018-361T02:40:42.251Z,744.7525,2.0,,
599150428.000,599150414.400,00030M01:39:30.947,00030 00:49:58,2018-361T02:40:42.751Z,744.7550,2.0,,
599150428.500,599150414.900,00030M01:39:31.434,00030 00:49:58,2018-361T02:40:43.251Z,744.7601,2.0,,
599150429.000,599150415.400,00030M01:39:31.920,00030 00:49:59,2018-361T02:40:43.751Z,744.7801,2.0,,
599150429.500,599150415.900,00030M01:39:32.407,00030 00:49:59,2018-361T02:40:44.251Z,744.7657,2.0,281.1844,0.2
599150430.000,599150416.400,00030M01:39:32.893,00030 00:50:00,2018-361T02:40:44.751Z,744.7571,2.0,,
599150430.500,599150416.900,00030M01:39:33.380,00030 00:50:00,2018-361T02:40:45.251Z,744.7540,2.0,,
599150431.000,599150417.400,00030M01:39:33.867,00030 00:50:01,2018-361T02:40:45.751Z,744.7532,2.0,,
599150431.500,599150417.900,00030M01:39:34.353,00030 00:50:01,2018-361T02:40:46.251Z,744.7746,2.0,,
599150432.000,599150418.400,00030M01:39:34.840,00030 00:50:01,2018-361T02:40:46.751Z,744.7593,2.0,,
599150432.500,599150418.900,00030M01:39:35.327,00030 00:50:02,2018-361T02:40:47.251Z,744.7418,2.0,,
599150433.000,599150419.400,00030M01:39:35.813,00030 00:50:02,2018-361T02:40:47.751Z,744.7625,2.0,,
599150433.500,599150419.900,00030M01:39:36.300,00030 00:50:03,2018-361T02:40:48.251Z,744.7844,2.0,,
599150434.000,599150420.400,00030M01:39:36.786,00030 00:50:03,2018-361T02:40:48.751Z,744.7571,2.0,,
599150434.500,599150420.900,00030M01:39:37.273,00030 00:50:04,2018-361T02:40:49.251Z,744.7452,2.0,281.1831,0.2
599150435.000,599150421.400,00030M01:39:37.760,00030 00:50:04,2018-361T02:40:49.751Z,744.7738,2.0,,
599150435.500,599150421.900,00030M01:39:38.246,00030 00:50:05,2018-361T02:40:50.251Z,744.7578,2.0,,
599150436.000,599150422.400,00030M01:39:38.733,00030 00:50:05,2018-361T02:40:50.751Z,744.7407,2.0,,
599150436.500,599150422.900,00030M01:39:39.220,00030 00:50:06,2018-361T02:40:51.251Z,744.7574,2.0,,
