AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
599644643.000,599644637.055,00035M15:16:11.133,00035 14:25:32,2019-001T19:57:46.234Z,4.742,,295.595,1,111,263.695,262.307,258.132,1,1101,4.394,,21.125,1,111,263.866,262.180,258.490,1,1101
599644644.000,599644638.055,00035M15:16:12.107,00035 14:25:33,2019-001T19:57:47.234Z,4.741,,300.547,1,111,263.662,262.372,258.059,1,1101,4.975,,16.108,1,111,263.891,262.140,258.502,1,1101
599644645.000,599644639.055,00035M15:16:13.080,00035 14:25:34,2019-001T19:57:48.234Z,4.449,,300.547,1,111,263.643,262.425,258.184,1,1101,3.561,,15.792,1,111,263.878,262.198,258.450,1,1101
599644646.000,599644640.055,00035M15:16:14.053,00035 14:25:35,2019-001T19:57:49.234Z,5.936,,300.547,1,111,263.774,262.339,258.276,1,1101,5.270,,21.125,1,111,263.962,262.166,258.399,1,1101
599644647.000,599644641.055,00035M15:16:15.026,00035 14:25:36,2019-001T19:57:50.234Z,5.338,,300.547,1,111,263.649,262.359,258.164,1,1101,4.380,,11.084,1,111,263.957,262.225,258.349,1,1101
599644648.000,599644642.055,00035M15:16:16.000,00035 14:25:37,2019-001T19:57:51.234Z,5.346,,300.547,1,111,263.689,262.359,258.361,1,1101,5.249,,11.084,1,111,263.860,262.116,258.170,1,1101
599644649.000,599644643.055,00035M15:16:16.973,00035 14:25:38,2019-001T19:57:52.234Z,5.934,,295.595,1,111,263.656,262.372,258.269,1,1101,3.555,,15.792,1,111,263.871,262.102,258.207,1,1101
599644650.000,599644644.055,00035M15:16:17.946,00035 14:25:39,2019-001T19:57:53.234Z,6.232,,295.595,1,111,263.662,262.359,258.296,1,1101,3.801,,16.108,1,111,263.826,262.127,258.373,1,1101
599644651.000,599644645.055,00035M15:16:18.919,00035 14:25:40,2019-001T19:57:54.234Z,5.640,,295.595,1,111,263.583,262.307,258.328,1,1101,5.254,,11.084,1,111,263.897,262.095,258.309,1,1101
599644652.000,599644646.054,00035M15:16:19.892,00035 14:25:41,2019-001T19:57:55.233Z,5.049,,300.547,1,111,263.623,262.300,258.381,1,1101,3.251,,14.864,1,111,263.839,262.172,258.322,1,1101
599644653.000,599644647.054,00035M15:16:20.865,00035 14:25:42,2019-001T19:57:56.233Z,5.642,,290.643,1,111,263.623,262.431,258.407,1,1101,4.092,,11.084,1,111,263.871,262.121,258.469,1,1101
599644654.000,599644648.054,00035M15:16:21.838,00035 14:25:43,2019-001T19:57:57.233Z,5.354,,300.547,1,111,263.643,262.353,258.571,1,1101,5.549,,11.084,1,111,263.864,262.171,258.385,1,1101
599644655.000,599644649.054,00035M15:16:22.811,00035 14:25:44,2019-001T19:57:58.233Z,6.246,,295.595,1,111,263.610,262.497,258.597,1,1101,5.828,,1.016,1,111,263.852,262.108,258.367,1,1101
599644656.000,599644650.054,00035M15:16:23.785,00035 14:25:45,2019-001T19:57:59.233Z,8.327,,300.547,1,111,263.649,262.582,258.538,1,1101,4.676,,11.084,1,111,263.883,262.158,258.462,1,1101
599644657.000,599644651.054,00035M15:16:24.758,00035 14:25:46,2019-001T19:58:00.233Z,8.628,,300.547,1,111,263.649,262.445,258.611,1,1101,6.417,,1.016,1,111,263.902,262.133,258.487,1,1101
