AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
602283290.000,602283244.126,00065M08:36:24.580,00065 07:44:12,2019-032T08:54:37.580Z,5.092,,215.444,1,111,207.022,204.724,202.493,1,1101,1.628,,175.973,1,111,207.503,208.134,208.107,1,1101
602283291.000,602283245.126,00065M08:36:25.553,00065 07:44:13,2019-032T08:54:38.580Z,5.089,,215.444,1,111,206.995,204.652,202.440,1,1101,0.928,,210.455,1,110,207.603,208.158,208.175,1,1101
602283292.000,602283246.126,00065M08:36:26.527,00065 07:44:14,2019-032T08:54:39.580Z,5.619,,215.444,1,111,207.001,204.762,202.498,1,1101,1.819,,201.125,1,110,207.597,208.151,208.150,1,1101
602283293.000,602283247.126,00065M08:36:27.500,00065 07:44:15,2019-032T08:54:40.580Z,5.619,,210.455,1,111,207.027,204.562,202.504,1,1101,1.456,,201.125,1,110,207.546,208.158,208.226,1,1101
602283294.000,602283248.126,00065M08:36:28.473,00065 07:44:16,2019-032T08:54:41.580Z,5.621,,215.444,1,111,207.066,204.736,202.524,1,1101,0.731,,211.141,1,110,207.571,208.177,208.314,1,1101
602283295.000,602283249.126,00065M08:36:29.446,00065 07:44:17,2019-032T08:54:42.580Z,5.272,,215.444,1,111,206.988,204.646,202.569,1,1101,1.268,,181.016,1,110,207.281,207.994,208.194,1,1101
602283296.000,602283250.126,00065M08:36:30.420,00065 07:44:18,2019-032T08:54:43.580Z,4.917,,210.455,1,111,207.001,204.607,202.504,1,1101,0.929,,165.302,1,111,207.559,208.265,208.288,1,1101
602283297.000,602283251.126,00065M08:36:31.393,00065 07:44:19,2019-032T08:54:44.580Z,4.915,,220.432,1,111,207.027,204.756,202.446,1,1101,1.636,,196.108,1,110,207.527,208.227,208.213,1,1101
602283298.000,602283252.126,00065M08:36:32.366,00065 07:44:20,2019-032T08:54:45.580Z,4.914,,215.444,1,111,207.118,204.659,202.440,1,1101,1.459,,206.136,1,110,207.540,208.202,208.314,1,1101
602283299.000,602283253.126,00065M08:36:33.339,00065 07:44:21,2019-032T08:54:46.580Z,4.745,,215.444,1,111,206.937,204.678,202.569,1,1101,1.638,,201.125,1,110,207.609,208.221,208.181,1,1101
602283300.000,602283254.126,00065M08:36:34.313,00065 07:44:22,2019-032T08:54:47.580Z,4.563,,225.420,1,111,206.995,204.685,202.440,1,1101,1.454,,191.084,1,110,207.546,208.239,208.244,1,1101
602283301.000,602283255.126,00065M08:36:35.286,00065 07:44:23,2019-032T08:54:48.580Z,4.745,,230.408,1,111,206.892,204.575,202.582,1,1101,1.817,,196.108,1,110,207.527,208.132,208.137,1,1101
602283302.000,602283256.126,00065M08:36:36.259,00065 07:44:24,2019-032T08:54:49.580Z,4.547,,225.767,1,111,207.064,204.709,202.438,1,1101,1.268,,170.924,1,111,207.584,208.195,208.320,1,1101
602283303.000,602283257.126,00065M08:36:37.232,00065 07:44:25,2019-032T08:54:50.580Z,4.393,,225.420,1,111,207.084,204.703,202.555,1,1101,1.268,,165.870,1,111,207.679,208.271,208.427,1,1101
602283304.000,602283258.126,00065M08:36:38.206,00065 07:44:26,2019-032T08:54:51.580Z,4.199,,220.779,1,111,206.924,204.659,202.536,1,1101,1.994,,170.924,1,111,207.633,208.282,208.419,1,1101
602283305.000,602283259.126,00065M08:36:39.179,00065 07:44:27,2019-032T08:54:52.580Z,4.569,,215.444,1,111,207.053,204.807,202.562,1,1101,1.116,,180.495,1,110,207.507,208.087,208.470,1,1101
602283306.000,602283260.126,00065M08:36:40.152,00065 07:44:28,2019-032T08:54:53.580Z,4.378,,220.779,1,111,207.008,204.672,202.614,1,1101,1.270,,181.016,1,110,207.670,208.187,208.311,1,1101
602283307.000,602283261.126,00065M08:36:41.125,00065 07:44:28,2019-032T08:54:54.580Z,4.552,,220.779,1,111,207.131,204.730,202.582,1,1101,1.671,,165.488,1,111,207.647,208.258,208.339,1,1101
602283308.000,602283262.126,00065M08:36:42.099,00065 07:44:29,2019-032T08:54:55.580Z,5.276,,210.455,1,111,207.137,204.781,202.653,1,1101,2.044,,165.488,1,111,207.581,208.206,208.412,1,1101
602283309.000,602283263.126,00065M08:36:43.072,00065 07:44:30,2019-032T08:54:56.580Z,5.279,,210.455,1,111,206.982,204.717,202.704,1,1101,1.989,,160.811,1,111,207.602,208.251,208.331,1,1101
602283310.000,602283264.126,00065M08:36:44.045,00065 07:44:31,2019-032T08:54:57.580Z,5.809,,210.455,1,111,207.034,204.685,202.736,1,1101,2.044,,160.482,1,111,207.518,208.117,208.412,1,1101
