AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
606457317.000,606457317.076,00112M09:03:03.763,00112 08:19:44,2019-080T16:22:37.193Z,,,,0.1,100,214.204,212.443,211.419,0.1,1000,,,,,,,,,,
606457327.000,606457327.076,00112M09:03:13.495,00112 08:19:54,2019-080T16:22:47.193Z,,,,0.1,101,213.715,212.432,211.459,0.1,1000,,,,,,,,,,
606457337.000,606457337.075,00112M09:03:23.227,00112 08:20:04,2019-080T16:22:57.192Z,,,,0.1,100,213.967,212.434,211.636,0.1,1000,,,,,,,,,,
606457347.000,606457347.075,00112M09:03:32.959,00112 08:20:14,2019-080T16:23:07.192Z,,,,0.1,100,213.833,212.387,211.555,0.1,1000,,,,,,,,,,
606457357.000,606457357.075,00112M09:03:42.691,00112 08:20:23,2019-080T16:23:17.192Z,,,,0.1,101,214.018,212.481,211.572,0.1,1000,,,,,,,,,,
606457367.000,606457367.074,00112M09:03:52.423,00112 08:20:33,2019-080T16:23:27.191Z,,,,0.1,101,213.919,212.440,211.505,0.1,1000,,,,,,,,,,
606457377.000,606457377.074,00112M09:04:02.155,00112 08:20:43,2019-080T16:23:37.191Z,,,,0.1,101,214.122,212.642,211.771,0.1,1000,,,,,,,,,,
606457387.000,606457387.074,00112M09:04:11.888,00112 08:20:53,2019-080T16:23:47.191Z,,,,0.1,101,214.127,212.639,211.806,0.1,1000,,,,,,,,,,
606457397.000,606457397.073,00112M09:04:21.619,00112 08:21:02,2019-080T16:23:57.190Z,,,,0.1,101,214.263,212.617,211.752,0.1,1000,,,,,,,,,,
606457405.000,606457405.073,00112M09:04:29.405,00112 08:21:10,2019-080T16:24:05.190Z,,,,,,,,,,,,,,0.1,100,219.190,218.388,217.730,0.1,1000
606457407.000,606457407.073,00112M09:04:31.352,00112 08:21:12,2019-080T16:24:07.190Z,,,,0.1,101,214.273,212.650,211.804,0.1,1000,,,,,,,,,,
606457415.000,606457415.073,00112M09:04:39.138,00112 08:21:20,2019-080T16:24:15.190Z,,,,,,,,,,,,,,0.1,101,218.611,218.292,217.755,0.1,1000
606457417.000,606457417.073,00112M09:04:41.084,00112 08:21:22,2019-080T16:24:17.190Z,,,,0.1,101,214.334,212.604,211.590,0.1,1000,,,,,,,,,,
606457425.000,606457425.072,00112M09:04:48.869,00112 08:21:30,2019-080T16:24:25.189Z,,,,,,,,,,,,,,0.1,101,218.458,218.289,217.787,0.1,1000
606457427.000,606457427.072,00112M09:04:50.816,00112 08:21:32,2019-080T16:24:27.189Z,,,,0.1,101,214.408,212.650,211.655,0.1,1000,,,,,,,,,,
606457435.000,606457435.072,00112M09:04:58.602,00112 08:21:39,2019-080T16:24:35.189Z,,,,,,,,,,,,,,0.1,101,218.663,218.459,218.073,0.1,1000
606457437.000,606457437.072,00112M09:05:00.548,00112 08:21:41,2019-080T16:24:37.189Z,,,,0.1,101,214.258,208.424,207.423,0.1,1000,,,,,,,,,,
606457445.000,606457445.072,00112M09:05:08.334,00112 08:21:49,2019-080T16:24:45.189Z,,,,,,,,,,,,,,0.1,100,164.546,165.118,160.986,0.1,1000
606457447.000,606457447.072,00112M09:05:10.281,00112 08:21:51,2019-080T16:24:47.189Z,,,,0.1,100,,,,0.1,1000,,,,,,,,,,
606457455.000,606457455.072,00112M09:05:18.067,00112 08:21:59,2019-080T16:24:55.189Z,,,,,,,,,,,,,,0.1,100,164.547,165.196,161.068,0.1,1000
606457457.000,606457457.071,00112M09:05:20.012,00112 08:22:01,2019-080T16:24:57.188Z,,,,0.1,000,,,,0.1,0000,,,,,,,,,,
606457466.000,606457466.071,00112M09:05:28.771,00112 08:22:10,2019-080T16:25:06.188Z,,,,0.1,100,215.147,213.029,212.118,0.1,1000,,,,,,,,,,
606457471.000,606457471.071,00112M09:05:33.638,00112 08:22:14,2019-080T16:25:11.188Z,,,,,,,,,,,,,,0.1,100,219.657,218.973,218.471,0.1,1000
606457476.000,606457476.071,00112M09:05:38.504,00112 08:22:19,2019-080T16:25:16.188Z,,,,0.1,100,214.785,213.097,212.082,0.1,1000,,,,,,,,,,
