AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
602251462.000,602251416.686,00065M00:00:08.657,00064 23:07:55,2019-032T00:04:10.090Z,4.153,,295.386,0.1,101,201.988,199.395,195.584,0.1,1000,,,,0.1,100,200.417,199.230,196.628,0.1,1000
602251472.000,602251426.686,00065M00:00:18.390,00064 23:08:05,2019-032T00:04:20.090Z,4.987,,300.397,0.1,101,201.988,199.433,195.668,0.1,1000,3.178,,290.643,0.1,100,200.308,199.179,196.633,0.1,1000
602251482.000,602251436.686,00065M00:00:28.122,00064 23:08:14,2019-032T00:04:30.090Z,4.323,,300.397,0.1,101,202.003,199.428,195.676,0.1,1000,2.345,,295.595,0.1,100,200.316,199.155,196.722,0.1,1000
602251492.000,602251446.686,00065M00:00:37.855,00064 23:08:24,2019-032T00:04:40.090Z,4.832,,300.472,0.1,101,202.079,199.382,195.694,0.1,1000,2.008,,290.643,0.1,100,200.259,199.186,196.678,0.1,1000
602251502.000,602251456.685,00065M00:00:47.586,00064 23:08:34,2019-032T00:04:50.089Z,4.832,,300.472,0.1,101,202.021,199.414,195.687,0.1,1000,2.509,,290.643,0.1,100,200.418,199.250,196.648,0.1,1000
602251512.000,602251466.685,00065M00:00:57.318,00064 23:08:43,2019-032T00:05:00.089Z,4.833,,300.472,0.1,101,201.892,199.356,195.707,0.1,1000,2.177,,295.595,0.1,100,200.242,199.212,196.704,0.1,1000
602251522.000,602251476.685,00065M00:01:07.051,00064 23:08:53,2019-032T00:05:10.089Z,5.000,,295.490,0.1,101,202.027,199.395,195.726,0.1,1000,3.516,,290.643,0.1,100,200.387,199.250,196.736,0.1,1000
602251532.000,602251486.685,00065M00:01:16.783,00064 23:09:03,2019-032T00:05:20.089Z,5.168,,300.472,0.1,101,201.897,199.361,195.750,0.1,1000,2.846,,290.643,0.1,100,200.342,199.231,196.717,0.1,1000
602251542.000,602251496.685,00065M00:01:26.516,00064 23:09:13,2019-032T00:05:30.089Z,4.823,,295.386,0.1,101,201.956,199.343,195.700,0.1,1000,2.677,,285.690,0.1,100,200.355,199.206,196.692,0.1,1000
602251552.000,602251506.685,00065M00:01:36.248,00064 23:09:22,2019-032T00:05:40.089Z,4.824,,300.397,0.1,101,201.982,199.343,195.732,0.1,1000,2.342,,295.595,0.1,100,200.337,199.182,196.637,0.1,1000
