AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
604914665.000,604914664.006,00095M00:00:03.076,00094 23:12:13,2019-062T19:51:41.675Z,,,,,,,,,,,,,,0.1,100,196.210,195.088,192.198,0.1,1000
604914670.000,604914669.006,00095M00:00:07.943,00094 23:12:18,2019-062T19:51:46.675Z,3.188,,285.369,0.1,101,199.974,196.804,191.415,0.1,1000,,,,,,,,,,
604914675.000,604914674.006,00095M00:00:12.809,00094 23:12:23,2019-062T19:51:51.675Z,,,,,,,,,,,,,,0.1,100,196.109,195.050,192.173,0.1,1000
604914680.000,604914679.005,00095M00:00:17.674,00094 23:12:27,2019-062T19:51:56.674Z,2.871,,285.369,0.1,101,199.980,196.855,191.441,0.1,1000,,,,,,,,,,
604914685.000,604914684.005,00095M00:00:22.540,00094 23:12:32,2019-062T19:52:01.674Z,,,,,,,,,,,,,,0.1,100,196.159,195.094,192.155,0.1,1000
604914690.000,604914689.005,00095M00:00:27.407,00094 23:12:37,2019-062T19:52:06.674Z,2.550,,285.369,0.1,101,199.935,196.804,191.383,0.1,1000,,,,,,,,,,
604914695.000,604914694.005,00095M00:00:32.273,00094 23:12:42,2019-062T19:52:11.674Z,,,,,,,,,,,,,,0.1,100,196.199,195.083,192.175,0.1,1000
604914700.000,604914699.005,00095M00:00:37.139,00094 23:12:47,2019-062T19:52:16.674Z,2.867,,285.369,0.1,101,199.980,196.836,191.306,0.1,1000,,,,,,,,,,
604914705.000,604914704.005,00095M00:00:42.005,00094 23:12:52,2019-062T19:52:21.674Z,,,,,,,,,,,2.079,,285.690,0.1,100,196.105,195.059,192.138,0.1,1000
604914710.000,604914709.005,00095M00:00:46.872,00094 23:12:57,2019-062T19:52:26.674Z,2.867,,280.363,0.1,101,199.967,196.739,191.293,0.1,1000,,,,,,,,,,
604914715.000,604914714.005,00095M00:00:51.738,00094 23:13:02,2019-062T19:52:31.674Z,,,,,,,,,,,1.921,,290.643,0.1,100,196.105,195.046,192.182,0.1,1000
604914720.000,604914719.005,00095M00:00:56.604,00094 23:13:06,2019-062T19:52:36.674Z,3.663,,280.363,0.1,101,199.814,196.760,191.301,0.1,1000,,,,,,,,,,
604914725.000,604914724.005,00095M00:01:01.470,00094 23:13:11,2019-062T19:52:41.674Z,,,,,,,,,,,,,,0.1,100,196.225,194.990,192.082,0.1,1000
604914730.000,604914729.005,00095M00:01:06.336,00094 23:13:16,2019-062T19:52:46.674Z,3.184,,285.369,0.1,101,199.832,196.694,191.267,0.1,1000,,,,,,,,,,
604914735.000,604914734.005,00095M00:01:11.203,00094 23:13:21,2019-062T19:52:51.674Z,,,,,,,,,,,,,,0.1,100,196.107,194.991,192.102,0.1,1000
604914740.000,604914739.005,00095M00:01:16.069,00094 23:13:26,2019-062T19:52:56.674Z,2.707,,280.363,0.1,101,199.864,196.791,191.267,0.1,1000,,,,,,,,,,
