AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
601771613.000,601771575.992,00059M14:16:45.706,00059 13:24:20,2019-026T10:46:48.644Z,3.823,,355.024,1,111,263.560,261.000,255.358,1,1101,6.961,,10.196,1,111,263.532,261.163,252.760,1,1101
601771614.000,601771576.992,00059M14:16:46.679,00059 13:24:21,2019-026T10:46:49.644Z,3.236,,350.069,1,111,263.506,260.993,255.344,1,1101,7.490,,15.792,1,111,263.616,261.016,252.638,1,1101
601771615.000,601771577.992,00059M14:16:47.652,00059 13:24:22,2019-026T10:46:50.644Z,3.528,,359.981,1,111,263.468,260.974,255.398,1,1101,5.507,,10.196,1,111,263.583,261.054,252.664,1,1101
601771616.000,601771578.992,00059M14:16:48.626,00059 13:24:23,2019-026T10:46:51.644Z,3.242,,335.208,1,111,263.593,261.066,255.450,1,1101,5.461,,9.901,1,111,263.461,260.926,252.651,1,1101
601771617.000,601771579.992,00059M14:16:49.599,00059 13:24:24,2019-026T10:46:52.644Z,3.533,,340.161,1,111,263.546,260.966,255.350,1,1101,4.598,,9.901,1,111,263.641,261.099,252.607,1,1101
601771618.000,601771580.992,00059M14:16:50.572,00059 13:24:25,2019-026T10:46:53.644Z,3.235,,340.161,1,111,263.546,261.039,255.206,1,1101,5.471,,15.792,1,111,263.590,261.112,252.575,1,1101
601771619.000,601771581.992,00059M14:16:51.545,00059 13:24:26,2019-026T10:46:54.644Z,3.534,,335.208,1,111,263.560,260.987,255.352,1,1101,4.886,,4.940,1,111,263.609,261.093,252.549,1,1101
601771620.000,601771582.992,00059M14:16:52.519,00059 13:24:26,2019-026T10:46:55.644Z,1.768,,320.353,1,111,263.449,260.994,255.378,1,1101,6.607,,9.901,1,111,263.609,261.106,252.568,1,1101
601771621.000,601771583.992,00059M14:16:53.492,00059 13:24:27,2019-026T10:46:56.644Z,3.531,,359.981,1,111,263.580,261.086,255.516,1,1101,7.190,,10.783,1,111,263.468,261.028,252.504,1,1101
601771622.000,601771584.992,00059M14:16:54.465,00059 13:24:28,2019-026T10:46:57.644Z,4.146,,355.260,1,111,263.578,261.111,255.357,1,1101,6.913,,15.792,1,111,263.622,260.964,252.607,1,1101
601771623.000,601771585.992,00059M14:16:55.438,00059 13:24:29,2019-026T10:46:58.644Z,3.529,,345.114,1,111,263.508,261.053,255.253,1,1101,6.599,,9.901,1,111,263.726,261.010,252.403,1,1101
601771624.000,601771586.992,00059M14:16:56.412,00059 13:24:30,2019-026T10:46:59.644Z,3.831,,340.161,1,111,263.657,261.157,255.449,1,1101,6.884,,9.901,1,111,263.622,260.855,252.370,1,1101
601771625.000,601771587.992,00059M14:16:57.385,00059 13:24:31,2019-026T10:47:00.644Z,3.848,,340.322,1,111,263.541,260.994,255.240,1,1101,5.734,,9.901,1,111,263.617,260.921,252.301,1,1101
