AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
600176786.000,600176779.672,00041M15:07:56.732,00041 14:16:25,2019-007T23:46:49.705Z,4.118,,15.482,1,110,268.119,268.732,265.348,1,1101,6.897,,40.779,1,111,263.275,258.193,247.744,1,1101
600176787.000,600176780.672,00041M15:07:57.705,00041 14:16:26,2019-007T23:46:50.705Z,4.659,,64.727,1,110,268.173,268.878,265.342,1,1101,6.345,,40.779,1,111,263.211,258.058,247.750,1,1101
600176788.000,600176781.672,00041M15:07:58.679,00041 14:16:27,2019-007T23:46:51.705Z,3.804,,15.482,1,110,268.101,268.746,265.441,1,1101,6.075,,40.779,1,111,263.154,258.034,247.866,1,1101
600176789.000,600176782.672,00041M15:07:59.652,00041 14:16:28,2019-007T23:46:52.705Z,,,,1,110,268.173,268.839,265.369,1,1101,5.797,,35.788,1,111,263.309,258.200,247.898,1,1101
600176790.000,600176783.672,00041M15:08:00.625,00041 14:16:29,2019-007T23:46:53.705Z,3.458,,9.901,1,110,268.206,268.865,265.500,1,1101,4.974,,35.788,1,111,263.207,258.234,248.027,1,1101
600176791.000,600176784.672,00041M15:08:01.598,00041 14:16:29,2019-007T23:46:54.705Z,3.804,,15.482,1,110,268.239,268.779,265.421,1,1101,5.810,,35.788,1,111,263.328,258.438,248.179,1,1101
600176792.000,600176785.672,00041M15:08:02.572,00041 14:16:30,2019-007T23:46:55.705Z,,,,1,110,268.323,268.903,265.453,1,1101,5.256,,35.788,1,111,263.328,258.450,248.166,1,1101
600176793.000,600176786.672,00041M15:08:03.545,00041 14:16:31,2019-007T23:46:56.705Z,,,,1,110,268.292,268.792,265.375,1,1101,3.881,,35.788,1,111,263.315,258.399,248.422,1,1101
600176794.000,600176787.672,00041M15:08:04.518,00041 14:16:32,2019-007T23:46:57.705Z,,,,1,110,268.300,268.879,265.396,1,1101,3.882,,35.788,1,111,263.341,258.585,248.454,1,1101
600176795.000,600176788.672,00041M15:08:05.491,00041 14:16:33,2019-007T23:46:58.705Z,,,,1,110,268.239,268.924,265.599,1,1101,4.167,,35.788,1,111,263.194,258.644,248.691,1,1101
600176796.000,600176789.672,00041M15:08:06.465,00041 14:16:34,2019-007T23:46:59.705Z,3.772,,9.901,1,110,268.264,268.897,265.473,1,1101,3.896,,35.788,1,111,263.175,258.644,248.921,1,1101
600176797.000,600176790.672,00041M15:08:07.438,00041 14:16:35,2019-007T23:47:00.705Z,4.393,,19.830,1,110,268.305,268.904,265.454,1,1101,5.560,,30.795,1,111,263.207,258.657,248.864,1,1101
600176798.000,600176791.672,00041M15:08:08.411,00041 14:16:36,2019-007T23:47:01.705Z,4.708,,14.864,1,110,268.298,268.858,265.382,1,1101,6.134,,30.116,1,111,263.220,258.535,248.889,1,1101
