AOBT,SCLK,LMST,LTST,UTC,BMY_HORIZONTAL_WIND_SPEED,BMY_VERTICAL_WIND_SPEED,BMY_WIND_DIRECTION,BMY_WIND_FREQUENCY,BMY_WS_OPERATIONAL_FLAGS,BMY_BASE_ROD_TEMP,BMY_MID_ROD_TEMP,BMY_TIP_ROD_TEMP,BMY_AIR_TEMP_FREQUENCY,BMY_AIR_TEMP_OPERATIONAL_FLAGS,BPY_HORIZONTAL_WIND_SPEED,BPY_VERTICAL_WIND_SPEED,BPY_WIND_DIRECTION,BPY_WIND_FREQUENCY,BPY_WS_OPERATIONAL_FLAGS,BPY_BASE_ROD_TEMP,BPY_MID_ROD_TEMP,BPY_TIP_ROD_TEMP,BPY_AIR_TEMP_FREQUENCY,BPY_AIR_TEMP_OPERATIONAL_FLAGS
601686658.000,601686622.451,00058M15:18:45.027,00058 14:26:18,2019-025T11:10:54.970Z,4.835,,305.499,1,111,262.292,260.971,256.956,1,1101,5.553,,359.981,1,110,261.408,259.079,252.962,1,1101
601686659.000,601686623.451,00058M15:18:46.000,00058 14:26:19,2019-025T11:10:55.970Z,6.039,,305.499,1,111,262.358,260.952,256.852,1,1101,4.714,,355.260,1,110,261.511,259.169,253.026,1,1101
601686660.000,601686624.451,00058M15:18:46.974,00058 14:26:20,2019-025T11:10:56.970Z,6.947,,305.499,1,111,262.351,260.892,256.897,1,1101,3.538,,350.281,1,110,261.427,259.233,253.096,1,1101
601686661.000,601686625.451,00058M15:18:47.947,00058 14:26:21,2019-025T11:10:57.970Z,6.340,,305.499,1,111,262.257,260.858,256.837,1,1101,3.538,,355.260,1,110,261.434,259.169,253.122,1,1101
601686662.000,601686626.451,00058M15:18:48.920,00058 14:26:22,2019-025T11:10:58.970Z,5.435,,305.499,1,111,262.266,260.847,256.852,1,1101,4.425,,0.239,1,111,261.350,259.207,253.224,1,1101
601686663.000,601686627.451,00058M15:18:49.893,00058 14:26:23,2019-025T11:10:59.970Z,4.532,,305.499,1,111,262.192,260.904,256.922,1,1101,5.014,,0.239,1,111,261.408,259.201,253.179,1,1101
601686664.000,601686628.451,00058M15:18:50.867,00058 14:26:24,2019-025T11:11:00.970Z,4.531,,305.499,1,111,262.172,260.780,256.903,1,1101,4.131,,355.260,1,110,261.453,259.233,253.211,1,1101
601686665.000,601686629.451,00058M15:18:51.840,00058 14:26:25,2019-025T11:11:01.970Z,6.642,,300.547,1,111,262.266,260.827,256.858,1,1101,3.813,,355.024,1,110,261.369,259.162,253.339,1,1101
601686666.000,601686630.451,00058M15:18:52.813,00058 14:26:26,2019-025T11:11:02.970Z,5.431,,300.547,1,111,262.206,260.860,256.779,1,1101,3.546,,345.302,1,110,261.429,259.234,253.360,1,1101
601686667.000,601686631.451,00058M15:18:53.786,00058 14:26:27,2019-025T11:11:03.970Z,7.852,,305.499,1,111,262.344,260.925,256.878,1,1101,5.187,,355.973,1,110,261.389,259.252,253.378,1,1101
601686668.000,601686632.451,00058M15:18:54.760,00058 14:26:28,2019-025T11:11:04.970Z,6.944,,300.547,1,111,262.180,260.715,256.845,1,1101,3.551,,345.302,1,110,261.376,259.303,253.538,1,1101
